Title,Time,reporttype,Reviews,
Rated  for Birth Control Report,Posted 6 months ago (8/19/2020),Report,"I got the Mirena in Feb 2020. The insertion wasn't pleasant by any means. It was like instant contractions and my hands were gripping the table. I was pretty uncomfortable for the rest of that evening and the next day but I was able to manage any discomfort with ibuprofen. For the next couple of months I just went about my life...my job changed, covid hit so I thought I was feeling out of control because of those things. Until I really started paying attention.....I noticed my emotions were all over the map. I couldn't keep myself under control, I was crying all of the time. Some days my boyfriend was looking at me like....what is wrong????? Then I noticed the severe change in my appetite, I was hungry ALL OF THE TIME. All I wanted was salt and sugar ALL DAY LONG. My skin was a mess, broken out all of the time on my face, chest and back. I was having no period, just like they said I would. BUT I was having PMS everyday. 24 hours a day, 7 days a week with no period to show for it. Which I think messed me up mentally. Its like my body wanted to have a period so bad but it just couldn't. The weight gain happened slowly, at first it was 2lb, then 5lb.....which I was able to deal with.",
Rated  for Birth Control Report,Posted 6 months ago (8/19/2020),Report,This is 2nd time I have had the Mirena. Total of 6 years total. I have never had any issues surf it. I got it for birth control. Only down side is I get random periods.,
Rated  for Birth Control Report,Posted 6 months ago (8/19/2020),Report,"The biggest joke known to mankind. Doctor gave me this big story about how great it is. Crap. It destroyed my life. I ended up suffering with mental illness, cutting my hair off, rashes on my skin, quit my job because I was exhausted. No sex drive, pain down my body, my neck, everything havent had a period in a year. Had to tell the doctor to get it out of me. Failed to do a STI check beforehand. Now i have to be checked for cervical cancer after it perforated me. Im not even 40, had a successful life and this junk destroyed my fmeininity.",
Rated  for Birth Control Report,Posted 6 months ago (8/14/2020),Report,"I’ve had mirena for exactly one month now and it has been a complete nightmare. My doctor talked this up like it was the greatest thing on earth and the perfect solution for my horrible periods. The insertion was extremely painful, like I couldn’t button my pants, looked 6 months pregnant while I sat in my car outside the doctors office for 2 hours trying not to pass out type painful. I have been so bloated and gained 10 pounds in one month. I seriously look so swollen and bloated all the time that I look pregnant. My period lasted 2 1/2 weeks as well. The worst part is that my sex drive has completely vanished. I can’t even put it into words. It is completely taking a toll on my relationship. I keep thinking it’ll get better and people tell me to wait it out but I just can’t. My doctor is on vacation for the next week so I have to wait a week and a half to get it out and I want to scream.",
Rated  for Endometriosis Report,Posted 7 months ago (8/6/2020),Report,"I have a history of gushing, painful periods which included vomiting and literally scheduling my plans around my cycle. My gyne recommended Mirena. The insertion was EXCRUTIATING...so painful I almost passed out and couldn't go to work. I had shooting pain in my back for several months, as well as terrible cramps and bloating. Called the doc and was told that everything should settle down after a year. I'm 15 months in and will be making an appointment to get it removed.",
Rated  for Endometriosis Report,Posted 7 months ago (8/4/2020),Report,"I had the mirena inserted on the 12th of December 2019. The gynae recommended this to help with the intermittent bleeding I was experiencing & bleeding after painful sex. This has been by far the worst contraception I have been on. I bled every single day from the day it was inserted for 8 solid months. I have had terrible pelvic pain, bloating, a tender uterus & stomach, loss of libido, vaginal dryness, moodiness & a very foggy memory. The doctor said it can take up to 6 months to settle down but I persevered for 8 months & my bleeding was worst than before I had it put in. I finally took it out yesterday & I instantly felt better, it was so strange. I would never recommend this. The pain having it inserted & extracted was unbelievable too. I’ve had two cesarians & this felt worse.",
Rated  for Birth Control Report,Posted 7 months ago (7/31/2020),Report,"This birth control device ruined my life for a total of 9 months. The pros of mirena: easy and effective birth control that requires no upkeep after getting it inserted, I also experienced lighter periods. Cons of Mirena: I was in total and utter despair. I constantly had a buildup of tears behind my eyes, ready to burst out at the smallest of things. My head felt like a thunderstorm was brewing inside my brain. Life lost all of its color, I woke up every day dreading what was in store for me. I found no happiness in anything, I was a miserable wreck and I couldn’t understand why. Along with the extreme emotional and psychological effects I had such bad cramping I would just want to lie in bed for days on end. I got my mirena out a few days ago and everything is better. I feel no pain in my uterus, I feel excited for this life I get to live, I feel much more loving and happy with my boyfriend, I can have a bad experience without bursting into a hysterical fit of tears. My life is back now that I have gotten that horrible device removed from inside of me.",
Rated  for Birth Control Report,Posted 7 months ago (7/31/2020),Report,"I had the mirena for 8 months and could not stand it anymore. Constant cramping, random sharp pain which would make me fall to my knees, spotting to no period (still experience pms symptoms) Horrible mood swings, depression, decreased sex drive, uncomfortable or sometimes painful during or right after sex. Bloating, weight gain (and for the life of me of dieting and exercising, made no difference). Such a relief when I got it removed 2 weeks ago, felt instantly lighter, better mentally, bloating gone, libido is back and instantly started dropping weight. Only thing now, the bleeding is extreme, and has started to take a toll on me, but I know it will take time before my periods are under control again and get my energy back up. Getting the iud inserted, was the worst pain I felt in my life. The doctor that was assigned to me didn't have much experience, after 20 minutes of her poking around in my insides, she had to get another doctor to insert it, which went relatively quick after. Removal was quick and easy, thankfully.",
Rated  for Birth Control Report,Posted 7 months ago (7/30/2020),Report,"This made me have facial hair, huge acne pimples, and destroyed me. I suggest the regular paraguard which is copper with no hormones.",
Rated  for Endometriosis Report,Posted 7 months ago (7/29/2020),Report,"My GP recommended Mirena to ease endometriosis pain and bleeding. Insertion was very painful, had cramping for about 2 days, my periods bleeding and pain started reducing after 2 months, and was gone in 4 months! Have had occational spotting about 3 times. Now into my 5th year, I have no complains, and had the best 5 years of my life!",
Rated  for Birth Control Report,Posted 7 months ago (7/26/2020),Report,"I got my Mirena placed June 2018. Having a tilted uterus, it was not pleasant having it inserted, BUT it was worth it. I have had minimal side effects, my periods have stopped and best of all, no pregnancies. I was worried about getting an IUD, having read horror stories, but am glad I did.",
